1. Total Cost = 83       Avg Cost = 2.075								
2. Total Cost = 408     Avg Cost = 10.2								
Size	Capcity	Cost	Total Cost					
1	8	1	1					
2	8	1	2					
3	8	1	3					
4	8	1	4					
5	8	1	5					
6	8	1	6					
7	8	1	7					
8	8	1	8					
9	16	 8+1 = 9 	17					
10	16	1	18					
11	16	1	17					
12	16	1	19					
13	16	1	17					
14	16	1	20					
15	16	1	17					
16	16	1	21					
17	32	16+1= 17	38					
18	32	1	39					
19	32	1	38					
20	32	1	40					
21	32	1	38					
22	32	1	41					
23	32	1	38					
24	32	1	42					
25	32	1	38					
26	32	1	43					
27	32	1	38					
28	32	1	44					
29	32	1	38					
30	32	1	45					
31	32	1	38					
32	32	1	46					
33	64	32+1 = 33	79					
34	64	1	80					
35	64	1	79					
36	64	1	81					
37	64	1	79					
38	64	1	82					
39	64	1	79					
40	64	1	83					
		total	83					
		avg	2.075					
								
								
Size	Capcity	Cost	Total Cost					
1	8	1	1					
2	8	1	2					
3	8	1	3					
4	8	1	4					
5	8	1	5					
6	8	1	6					
7	8	1	7					
8	8	1	8					
9	10	9	17					
10	10	1	18					
11	12	11	29					
12	12	1	30					
13	14	13	43					
14	14	1	44					
15	16	15	59					
16	16	1	60					
17	18	17	77					
18	18	1	78					
19	20	19	97					
20	20	1	98					
21	22	21	119					
22	22	1	120					
23	24	23	143					
24	24	1	144					
25	26	25	169					
26	26	1	170					
27	28	27	197					
28	28	1	198					
29	30	29	227					
30	30	1	228					
31	32	31	259					
32	32	1	260					
33	34	33	293					
34	34	1	294					
35	36	35	329					
36	36	1	330					
37	38	37	367					
38	38	1	368					
39	40	39	407					
40	40	1	408					
		total	408					
		avg	10.2					
